barcode,title,subtitle,description,manufacturer_name,manufacturer_phone_adress,manufacturer_email,size_color,image,price,currency
0745240554967, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Déodorant Enfant ,Déodorant Enfant rose d’arôme Bleu Bear,Flora,+213 5 42990634,abounabil.hotel@gmail.com,150ml ,,200,DZD
0745240554950, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Déodorant Enfant ,Déodorant Enfant Mauve d’arôme Iberchem Bibaby,Flora ,+213 5 42990634,abounabil.hotel@gmail.com,150ml,,200,DZD
0745240554943, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Déodorant Enfant ,Déodorant Enfant Rouge d’arôme Baby Soft ,Flora ,+213 5 42990634,abounabil.hotel@gmail.com,150ml ,,200,DZD
0745240554936, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Deodorant enfant,Deodorant enfant vert d’arôme Berchem Blunel ,Flora ,+213 5 42990634,abounabil.hotel@gmail.com,150ml ,,200,DZD
0745240554929, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Shampooing bébé ,Shampooing bébé spécialement formulé pour être utilisé sur les nourrissons et les jeunes enfants au moyen de produits chimiques qui sont censés être moins irritants irritants pour les yeux que ceux que l'on trouve couramment dans le shampooing régulier.,Flora,00213 5 42990634,abounabil.hotel@gmail.com,350ml,,200,DZD
0745240554912,SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Lait corporel bébé ,"lait corporel bébé offre l'occasion d'un moment quotidien de bienêtre et de complicité unique,qui fait inconsciemment découvrir à l'enfant le plaisir de la propreté.Parce que la peau des bébés n'est pourvue que d'une barrière cutanée encore très fine .",Flora ,+213 5 42990634,abounabil.hotel@gmail.com,350ml ,,200,DZD
0745240554905, SARL LA ROSE BLAN CHE COSMETIQUE ET HYGIENNE,Eau de Cologne bébé ,"Cette eau de Cologne pour bébé a un parfum doux et frais avec une agréable combinaison de notes florales et d'agrumes. Il laisse votre bébé sentir propre et frais. Cette formule douce cliniquement prouvée est sans alcool, ",Flora,00213 5 42990634,abounabil.hotel@gmail.com,350 ml,,200,DZD
0745178910996,Prickly pear seed oil ,Rue mostafa benboulaid locale n 03 sirat mostaganem,"Prickly Pear Seed Oil is Light, non-greasy and absorbs very well. It is ideal for mature and dry skin. POWERFUL SOURCE OF ANTIOXIDANTS it is ideal for dark under-eye circles and Hyper pigmented Skin. It can also be used to repair Severely Damaged Hair",SARL ARTEL PURE,+213669978837,artelpure@gmail.com,15 ml green ,,2850,DZD
0745125351001,savon a l'huile d'olive ,savon naturel,"صابون طبيعي بزيت الزيتون على الطريقة الباردة خالي من الزيوت الأساسية والملونات ( منتوج جزائري100/100 )
المكونات
زيت الزيتون . زيت جوز الهند. بودرة التين الشوكي . زبدة الشيا.
مصنع من طرف: ورشة مخلوف لصناعة الصابون الطبيعي
",SAVON MALLARA,tassadane haddada wilaya mila 43033 algerie,mokhtarmakhlouf07@gmail.com,,,500DA,DZD
0745240441762,Asila elhaj,Prumiem,,EZZ'abeille,,karimaezzeroug@gmail.com,Boite 1kg. 2kg. 3kg,,,
0745240417750,KING barre,,"gaufrette en barre , une seule pièce , ",EURL LAITAMINE,00213 550316249,talusflowers@yahoo.fr,,,,
0745240417705,Gaufrettes sans sucre au chocolat BORNEO ,Gaufrettes sans sucre au chocolat BORNEO ,"Gaufrettes sans sucre au chocolat BORNEO en boites de 03 paquets ( poids moyen 3x40 gr = 120 gr)
",BISCUITERIE EURL LAITAMINE,"Phone : +213550314249 / BISCUITERIE EURL LAITAMINE : Adresse :Cité Mont-Viso, N°04 Wilaya de Relizane 48000 Algeria – Algérie codes à barres 0745240417705",talusflowers@yahoo.fr,,,,DZD
0745240166665,FILM ALIMENTAIRE IKRAM ,FILM ALIMENTAIRE PRÉSERVE LA SAVEUR DE VOS ALIMENTS ,"Film Alimentaire pour protéger les aliments et conserver leur fraîcheur en évitant la propagation des odeurs.Du fait de son élasticité résistante,il peut emballer des aliments aux formes très diverses,pour une conservation à l’air libre ou au réfrigérateur",IKRAM PAPIER ,"Assi-Youcef 15026 , Boghni Tizi-Ouzou , / Tél: +213676336366 /+213776867055",ikrampapier2021@gmail.com,Transparent / 10 M,,,DZD
0745240166658,FILM ALIMENTAIRE IKRAM ,FILM ALIMENTAIRE PRÉSERVE LA SAVEUR DE VOS ALIMENTS ,"Film Alimentaire pour protéger les aliments et conserver leur fraîcheur en évitant la propagation des odeurs.Du fait de son élasticité résistante,il peut emballer des aliments aux formes très diverses,pour une conservation à l’air libre ou au réfrigérateur",IKRAM PAPIER ,"Assi-Youcef 15026 , Boghni Tizi-Ouzou , / Tél: +213676336366 /+213776867055",ikrampapier2021@gmail.com,Transparent / 200 M,,,DZD
0745240166672,PAPIER CUISSON IKRAM ,PAPIER CUISSON RÉSISTANT A LA CHALEUR / ANTI-ADHÉRENT ,"Idéal pour cuisiner au four traditionnel ou au micro-ondes.Grâce à lui,les aliments n'attachent plus:il facilite le démoule et le nettoyage des plats.Il peut également servir à envelopper les aliments pour la conservation au réfrigérateur ou au congélateur",IKRAM PAPIER ,"Assi-Youcef 15026 , Boghni Tizi-Ouzou , / Tél: +213676336366 /+213776867055",ikrampapier2021@gmail.com,5 M,,,DZD
0745240166641,ALUMINIUM IKRAM,Papier Aluminium Facile à découper /Résistant aux déchirures,"Le papier aluminium est très résistant à la chaleur : aucun besoin de s'inquiéter qu'il ne brûle ou ne prenne en feu ! Tout comme le papier parchemin, il peut être utilisé pour cuire en papillote et pour chemiser les plaques à cuisson.",IKRAM PAPIER ,"Assi-Youcef 15026 , Boghni Tizi-Ouzou , / Tél: +213676336366 /+213776867055",ikrampapier2021@gmail.com,5 M,,,DZD
0745240166689,ALUMINIUM IKRAM,Papier Aluminium Facile à découper /Résistant aux déchirures,"Le papier aluminium est très résistant à la chaleur : aucun besoin de s'inquiéter qu'il ne brûle ou ne prenne en feu ! Tout comme le papier parchemin, il peut être utilisé pour cuire en papillote et pour chemiser les plaques à cuisson. ",IKRAM PAPIER ,"Assi-Youcef 15026 , Boghni Tizi-Ouzou , / Tél: +213676336366 /+213776867055",ikrampapier2021@gmail.com,100 M,,,DZD
0745240237013,Makroud Constantinois au four مقرود قسنطيني في الفرن,ADWAK KOM,Makroud Constantinois au four farci à la pâte de dattes ,E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745240236948,Makroud el Makla مقرود المقلة,ADWAK KOM,Gâteau sec makroud el makla farci à la pâte de dattes ,E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745240236931,les Cornets pour salés كورنيات للمملحات,ADWAK KOM,cornets salés ,E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745240236917,Gâteau Sablé صابلي,ADWAK KOM,Sablé à la confiture des fraises ou abricots,E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745240166634,ALUMINIUM IKRAM,Papier Aluminium Facile à découper /Résistant aux déchirures,"Le papier aluminium est très résistant à la chaleur : aucun besoin de s'inquiéter qu'il ne brûle ou ne prenne en feu ! Tout comme le papier parchemin, il peut être utilisé pour cuire en papillote et pour chemiser les plaques à cuisson. ",IKRAM PAPIER ,"Assi-Youcef 15026 , Boghni Tizi-Ouzou , / Tél: +213676336366 /+213776867055",ikrampapier2021@gmail.com,200 M,,,DZD
0745240236986,Gâteau Sec Prestige كعك بريستيج,ADWAK KOM,"Gâteau sec prestige à deux revers
",E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745240236979,Mini Fond de Tarte قوالب مصغرة للطرطلات,ADWAK KOM,"Mini fond de tarte Salée et/ou Sucrée
",E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745240236962,Fond de Tarte قوالب الطرطلات,ADWAK KOM,"Fond de tarte Salée et/ou Sucrée
",E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745240236955,Ghribya traditionnelle غريبية,ADWAK KOM,Gâteau sec ,E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745110945857,TIN TIN,حي بن غازي رقم 84ٱ -براقي الجزائر ,"
Boisson énergisante partiellement sucrée ",Boss,0550702542/0550547393,651tintin@gmail.com,Noir 33cl,,60دج,DZD
0745240236924,Gâteau Croquants Kroki كروكي,ADWAK KOM,Gâteau sec algérien appelé croquant ou croquet KROKI à tromper dans du lait ou du café ,E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745240236900,Galette Semoule كسرة سميد,ADWAK KOM,"
",Société E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Alg Télph:0770356542",www.adwak.kom@gmail.com,,,,
0745240061243,Lait pasteurisé partiellement écrémé,Lait pasteurisé,"Lait pasteurisé Partiellement écrémé (Poudre & eau)
MG Min 1,5 %",SARL Laiterie Skiplait Djezzar &Fils,034.55.39.60- Zone Industrielle de Ouled Salah - E.A.K Jijel - 18000,Skiplait18@yahoo.fr,1 Littre,,"24,10",DZD
0745240159476,Fabrication et commercialisation d'articles scolaires,Fabrication et commercialisation d'articles scolaires,Articles scolaires de haute qualité MAD IN Algeria,Entreprise PLASTI COLOR ,"Phone : +213772952799 / Entreprise PLASTI COLOR : Cité El Gammas N° 78 Wilaya de Constantine 25000 Algeria, Algérie Codes à Barres 0745240159476",plasticolor25@gmail.com,,,,DZD
0745240159483,Fabrication et commercialisation d'articles scolaires,Fabrication et commercialisation d'articles scolaires,Articles scolaires de haute qualité MAD IN Algeria ,Entreprise PLASTI COLOR ,"Phone : +213772952799 / Entreprise PLASTI COLOR : Cité El Gammas N° 78 Wilaya de Constantine 25000 Algeria, Algérie Codes à Barres 0745240159483",plasticolor25@gmail.com,,,,DZD
0745240201991,Eau de mer medicino,Eau de mer ,Eau de mer hyper tonique et isotonique,Medicino,+213697019661,medicino.lab@gmail.com,Blue,,540,DZD
0745240159339,Baklawa ,,,DIMIA,"Cité 2000 Logements BT6, Local N°1, Nouvelle-ville, TIZI OUZOU.",patisseriedimia@gmail.com,,,,DZD
0745240159322,Brioche aux pépites de chocolat,,,DIMIA,"Cité 2000 Logements BT6, Local N°1, Nouvelle-ville, TIZI OUZOU.",patisseriedimia@gmail.com,,,,DZD
0745178936729,FOEPA,ASSIETTE PETIT MODELE BLANCHE ,"ces assiettes sont fabriqués en polypropyléne pp .
dimensions 160 mm,conditionneé en paquet de 10 elles bénéficient d'un excellent rapport qualité/prix trés pratique.",SARL FOEPA,0560377322,FOEPASARL16@GMAIL.COM,dimensions:160mm couleur: blanche poids:75.8 g ,,dzd,DZD
0745110710844,Serviettes de table 80pcs,,,G'nex,,ginex-dz@hotmail.com,,,,
0745110694939,JEU DU GRUYÈRE, remonte balle,"Le jeu « GRUYÈRE » a été inventé afin de permettre à nos enfants d’améliorer leurs COMPÉTENCE physiques et mentales, tout en s’amusant .
A l'aide des deux ficelles qui tiennent le croissant, remontez la boule de bas en haut .",MANY TOYS,+213665401736 / +213554553851,manytoys.pro@gmail.com,55*40*04 cm3 ,,,
0745178954990,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954990",bahi1289@gmail.com,,,,DZD
0745178954983,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954983",bahi1289@gmail.com,,,,DZD
0745178954976,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954976",bahi1289@gmail.com,,,,DZD
0745178954969,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954969",bahi1289@gmail.com,,,,DZD
0745178954952,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954952",bahi1289@gmail.com,,,,DZD
0745178954945,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954945",bahi1289@gmail.com,,,,DZD
0745178954921,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954921",bahi1289@gmail.com,,,,DZD
0745178954914,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954914",bahi1289@gmail.com,,,,DZD
0745178954907,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954907",bahi1289@gmail.com,,,,DZD
0745178954891,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954891",bahi1289@gmail.com,,,,DZD
0745178954884,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954884",bahi1289@gmail.com,,,,DZD
0745178954877,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954877",bahi1289@gmail.com,,,,DZD
0745178954860,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954860",bahi1289@gmail.com,,,,DZD
0745178954853,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954853",bahi1289@gmail.com,,,,DZD
0745178954846,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954846",bahi1289@gmail.com,,,,DZD
0745178954839,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954839",bahi1289@gmail.com,,,,DZD
0745178954822,Légumes secs Al-Essawi,Légumes secs Al-Essawi,Les légumes secs Al-Essawi sont de bonne qualité,Entreprise Al-Essawi pour le conditionnement des produits alimentaires,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algérie Codes à Barres 0745178954822",bahi1289@gmail.com,,,,DZD
0745110694922,balloon boat,boat,"Just blow up the balloon, place the boat in the water, and watch it zoom around the tub or pool.
Comes with two balloons.",MANY TOYS,+213665401736 / +213554553851,manytoys.pro@gmail.com,"15*10*7.5 cm3 / yellow, blue, red and green,",,,
0745110694915,RING TOSS GAME,RING TOSS,How to play: Players take turns throwing the rope rings onto the wooden peg one by one. Whoever inserts the most number of rings into the peg is the winner of the game.,MANY TOYS,+213665401736 / +213554553851,manytoys.pro@gmail.com,"12.5*12.5*23 cm3 / yellow, blue, red and green,",,,DZD
0745110876335,BLM FISHING CALAMAR,SOFT BAIT LURES FOR SALTWATER,"SOFT BAIT LURE
BLM FISHING CALAMAR
SALTWATER SOFT BAIT JIGGING LURE",BLM FISHING ALGERIA,,bouziram@gmail.com,MULTICOLOR,,,
0745178954815,Légumes secs El-Essawi,Légumes secs El-Essawi,Les légumes secs El-Essawi sont de bonne qualité ,Entreprise El-Essawi pour le conditionnement des produits alimentaires ,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algerie Codes à Barres 0745178954815",bahi1289@gmail.com,,,,DZD
0745178954808,Légumes secs El-Essawi ,Légumes secs El-Essawi ,Les légumes secs conditionnés par l’entreprise El-Essawi sont de bonne qualité ,Entreprise El-Essawi pour le conditionnement des produits alimentaires ,"Phone : +213660608877 / Adresse : Local A+B - Division 602 Nouveau site de Rasfa, N° 12/740 Wilaya de Boussaâda 28200 Algeria, Algerie Codes à Barres 0745178954808",bahi1289@gmail.com,,,,DZD
0745110982005,DAPHN COSMETICS,DAPHN COSMETICS,SHAMPOING LAVANDE antipelliculaire de haute qualité Made in Algeria ,DAPHN COSMETICS et une marque de l’ Entreprise de TAYEB BEY SAID,"Phone : +21323367517 / Adresse : Zone d’Activité Souayah N°05, commune de Ouled Saber, Wilaya de Sétif, Algeria, Algérie Codes à Barres 0745110982005",orchidcosmetic19@gmail.com,,,,DZD
0745125240282,Vanille en poudre,Fabriqué par ets l'arôva.cité megnouche Mustapha birkhadem Alger,"Vanille en poudre 4 kg en bidon de plastique
Marque: vaniluxe
Adresse : cité megnouche Mustapha birkhadem Alger
Tél :0553060376/0555260516
E-mail : ",Vaniluxe,0553060376/0555260516,etslarova@gmail.com,,,,
0745110917601,Sorbitol,,"Édulcorant,
Substitut de sucre,
Sucre pour diabetique",Eurl B and B International Trading Company,0542662572,ab.bouktaya@gmail.com,130/220mm,,,
0745110917618,beurre de cacahuète ,,"un produit alimentaire naturelle riche en fibres, protéines et bons lipides .ideal pour toutes les teanches d age et surtout pour les sportifs. peut etre consommer le matin au petit déjeuner comme une tartine avec pain.",Natural Nut,0659082138,syfoumlk@gmail.com,marron,,350 ,DZD
0745110729860,Bombes de bain /sels de bain/dentifrices/masques,Produits d'hygiène corporelle naturels,"Bombes de bain à base de bicarbonate de soude, acide citrique, argile, huile de ricin, alcool,huiles essentielles, masques à base d'argiles et de poudres de fleurs, dentifrices à base de clou de girofle et argile et plantes médicinales",Nounbio,0555882496,amaloumimosa@gmail.com,8cm diamètre,,600da,
0745110851585,Ail de marque Khayrat Telaghma ,Ail de marque Khayrat Telaghma ,"L’ ail de marque Khayrat Telaghma et un produit issu de l’agriculture biologique, conditionné sans conservateurs ni produits ajouté , il est à 100% naturel. Poids : 400 g ",EURL ISSAD HOCINE ,Phone : +213661311991 / Ardesse : Mechta Charef Chelghoum El Aïd wilaya de Mila - 43200 Algeria - Algérie codes a Barres 0745110851585 ,Isaadhoucine@gmail.com,,,,DZD
0745110851578,Ail de marque Khayrat Telaghma ,Ail de marque Khayrat Telaghma ,"L’ ail de marque Khayrat Telaghma et un produit issu de l’agriculture biologique, conditionné sans conservateurs ni produits ajoutés , il est à 100% naturel. Poids : 200 g ",Eurl Issad Houcine,Phone : +213661311991 / Ardesse : Mechta Charef Chelghoum El Aïd wilaya de Mila - 43200 Algeria - Algérie codes a Barres 0745110851578 ,Isaadhoucine@gmail.com,,,,DZD
0745110837527,enduit de rebouchage ,,enduit de charge intérieur extérieur ,surfalisse ,0799624144,dzpaint@gmail.com,,,800,DZD
0745110837510,enduit de finition ,,enduit intérieur de finition ,surfalisse ,0799624144,dzpaint@gmail.com,,,600,DZD
0745110837503,enduit joint plaque de plâtre hydrofuge ,,enduit joint plaque de plâtre speciale plaque hydrofuge utilisé dans des endroits humides ,surfalisse ,0799624144,dzpaint@gmail.com,bleu ,,1650,DZD
0745110837497,enduit joint plaque de plâtre ,code barre ,enduit joint spécial plaque de plâtre ,surfalisse ,0799624144,dzpaint@gmail.com,,,1400,DZD
0745110695004,wooden swing +3y,swing,"MANY TOYS swing consists of a comfortable seat made of environmentally friendly wood coated with a layer of lacquer to protect it.
Easy to install and adjustable from 100 to 300 cm, maximum load capacity up to 100 kg, easy to hang on tree branch / crossbar",MANY TOYS,+213665401736 / +213554553851,manytoys.pro@gmail.com,"41.5*27*09 cm3 / yellow, blue, red and green,",,,
0745760137992,Peanut butter,,,Ryfa,0550299642,ryfa.contact@gmail.com,360 grm,,250,DZD
0745110104353,سائل غسيل الملابس دول برونكس,القطة رقم 71 منطقة النشاطات سور الغزلان البويرة الجزائر,سائل الغسيل الملابس برونكس,DOLL Detergent,0550916300,adeldoll0@gmail.com,10 لتر,,,DZD
0745125709123,L'huile d'olive Nador,L'huile vierge,L'huile d'olive vierge avec une acidité inférieur à 2%,Huilerie traditionnelle Nador,+213559518389,hibouche-mohamed@outlook.fr,0.37 litre,,400 da,DZD
0745125709130,L'huile d'olive Nador,L'huile d'olive vierge,L'huile d'olive vierge avec une acidité inférieur à 2%,Huilerie traditionnelle Nador,+213559518389,hibouche-mohamed@outlook.fr,0.50litre,,500 da,DZD
0745178765930,beurre de cajou,beurre,patte de cajou bien moullu. presenter en bocal,cajou,0021324708983,kmcond@yahoo.com,no,,no,DZD
